ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
28,batch_id,W,80,10,STRING,DEFAULT,20,rw,,,,,0,,,0,0,,,0,,,,
29,part_number,W,115,10,STRING,DEFAULT,20,rw,,,,,0,,,0,0,,,0,,,,
30,scanner_data,W,125,10,STRING,DEFAULT,20,rw,,,,,0,,,0,0,,,0,,,,
48,batch_running,B,0,1,BOOL,,0,rw,,,,,0,,,0,0,,,0,,,,
99,machine_running,B,1,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
142,batch_start_datetime_str,W,500,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,Display,,0,,,,
147,machine_output_signal,B,2,1,BOOL,,0,rw,,,,,,,,0,0,Display,,0,,,,
148,data_timestamp,W,150,10,STRING,DEFAULT,20,rw,,,,,0,,,0,0,Batch,,0,,,,
159,id_postfix,W,512,5,STRING,DEFAULT,10,rw,,,,,,,,0,0,Batch,,0,,,,
165,batch_prev_count,W,517,2,INT,,0,rw,,-1,,,,,,0,0,Batch,,0,,,,
174,batch_start_time,W,519,10,STRING,DEFAULT,20,rw,,---,,,,,,0,0,Batch,,0,,,,
175,batch_stop_time,W,529,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,Batch,,0,,,,
176,batch_count,W,539,2,INT,,0,rw,,,,,,,,0,0,Batch,,0,,,,
178,batch_status_updated,B,3,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
179,log_batch_stop,B,4,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
183,verified,B,5,1,BOOL,,0,r,,0,,,,,,0,1,Batch,,0,,,,
212,batch_start_undefined,B,6,1,BOOL,,0,rw,,,,,,,,0,0,Batch,,0,,,,
226,status_id,W,541,1,SHORT,,0,rw,,,,,,,,0,0,,,0,,,,
227,status_id_changed,B,7,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
229,shift_1_start_time,W,542,2,INT,,0,rw,,27900000,,,,,,0,1,Shift,,0,,,,
230,shift_2_start_time,W,546,2,INT,,0,rw,,73200000,,,,,,0,1,Shift,,0,,,,
231,shift_1_stop_time,W,544,2,INT,,0,rw,,73200000,,,,,,0,1,Shift,,0,,,,
232,shift_2_stop_time,W,548,2,INT,,0,rw,,27900000,,,,,,0,1,Shift,,0,,,,
233,shift_running,W,566,1,SHORT,,0,rw,,,,,,,,0,1,,,0,,,,
234,shift_1_start_time_str,W,550,3,STRING,DEFAULT,6,rw,,,,,,,,0,1,Display,,0,,,,
235,shift_1_stop_time_str,W,553,3,STRING,DEFAULT,6,rw,,,,,,,,0,1,Display,,0,,,,
236,shift_2_start_time_str,W,556,3,STRING,DEFAULT,6,rw,,,,,,,,0,1,Display,,0,,,,
237,shift_2_stop_time_str,W,559,3,STRING,DEFAULT,6,rw,,,,,,,,0,1,Display,,0,,,,
272,shift_count,W,562,2,INT,,0,rw,,,,,,,,0,1,,,0,,,,
273,batch_count_increment,W,564,2,INT,,0,rw,,,,,,,,0,0,,,0,,,,
280,shift_previous,W,567,1,SHORT,,0,rw,,,,,,,,0,1,,,0,,,,
285,shift_start_display,W,568,3,STRING,DEFAULT,6,rw,,,,,,,,0,0,Display,,0,,,,
286,shift_stop_display,W,571,3,STRING,DEFAULT,6,rw,,,,,,,,0,0,Display,,0,,,,
290,log_batch_start,B,8,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
