ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
249,av_down_reason_id,W,0,1,SHORT,,0,rw,,,,,,,,0,0,,,0,,,,
250,av_current_downtime,W,1,2,UINT,,0,rw,,,,,,,,0,0,,,0,,,,
251,av_sku,W,3,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
252,av_unique_id,W,13,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
253,av_total_downtime,W,23,2,UINT,,0,rw,,,,,,,,0,0,,,0,,,,
254,pub_availability,B,0,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
256,perf_sku,W,25,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
257,perf_unique_id,W,35,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
258,perf_count,W,45,1,SHORT,,0,rw,,-1,,,,,,0,0,,,0,,,,
259,perf_output,W,46,2,INT,,0,rw,,,,,,,,0,0,,,0,,,,
260,perf_shift_output,W,48,2,INT,,0,rw,,-1,,,,,,0,0,,,0,,,,
261,perf_e_data_timestamp,W,50,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
262,pub_performance,B,1,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
263,et_sku,W,60,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
264,et_unique_id,W,70,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
265,et_batch_status,B,2,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
266,pub_entry,B,3,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
267,dt_unique_id,W,80,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
268,dt_sku,W,90,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
269,dt_status_id,B,4,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
270,dt_start_time,W,100,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
271,pub_details,B,5,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
276,av_e_terminal_time,W,110,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
277,perf_e_terminal_time,W,120,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
278,et_e_terminal_time,W,130,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
279,dt_e_terminal_time,W,140,10,STRING,DEFAULT,20,rw,,,,,,,,0,0,,,0,,,,
284,av_e_down_stage,W,150,1,SHORT,,0,rw,,,,,,,,0,0,,,0,,,,
287,pub_shift_time,B,6,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
289,dt_e_down_stage,W,151,1,SHORT,,0,rw,,,,,,,,0,0,,,0,,,,
293,details_event_queued,B,7,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
294,entry_event_queued,B,8,1,BOOL,,0,rw,,,,,,,,0,0,,,0,,,,
299,e_publish_type,W,152,1,SHORT,,0,rw,,,,,,,,0,0,,,0,,,,
300,e_machine_status,W,153,1,SHORT,,0,rw,,,,,,,,0,0,,,0,,,,
