ID,Variable name ,Register type,Register address,Address length,Data type,Character set,String length ,The mode of reading and writing,Variable description,Initial value,Minimum value,Maximum value,Engineering quantity conversion,Original minimum,Origianl maximum,Random generation of simulation,Power-off protection,Variable Grouping,Variable Categorie,Slave Station,Slave register type,Slave address,Read write mode of slave station
34,mqtt_client_id,W,520,12,STRING,DEFAULT,24,rw,,PlasticSCADA_HMI,,,,,,0,1,Mqtt,,0,,,,
36,machine_number,W,9,1,SHORT,,0,rw,,0,0,99,,,,0,1,Machine,,0,,,,
38,mqtt_connect_status,B,599,1,BOOL,,0,rw,,,,,,,,0,0,Mqtt,,0,,,,
39,mqtt_connect_sw,B,598,1,BOOL,,0,rw,,1,,,,,,0,0,Mqtt,,0,,,,
44,mqtt_connect_code,W,597,1,SHORT,,0,rw,,,,,,,,0,0,Mqtt,,0,,,,
55,machine_type,W,10,1,SHORT,,0,rw,,-1,,,0,,,0,1,Machine,,0,,,,
77,initialized,B,14,1,BOOL,,0,rw,,0,,,0,,,0,0,,,0,,,,
127,screen_number,W,6,1,SHORT,,0,rw,,,,,,,,0,0,,,0,,,,
144,machine_mode,B,12,1,BOOL,,0,rw,,,,,0,,,0,0,,,0,,,,
169,timestamp,W,100,10,STRING,DEFAULT,20,rw,,0,,,,,,0,0,,,0,,,,
170,timestamp_sync,W,120,10,STRING,DEFAULT,20,rw,,0,,,,,,0,0,,,0,,,,
171,timestamp_mqtt,W,110,10,STRING,DEFAULT,20,rw,,0,,,,,,0,0,,,0,,,,
180,machine_data_timeout,W,598,2,UINT,,0,rw,,70,,,,,,0,1,MachineDown,,0,,,,
198,machine_data_timer,W,600,2,UINT,,0,rw,,,,,,,,0,0,MachineDown,,0,,,,
199,machine_data_timer_last_update,W,602,10,STRING,DEFAULT,20,rw,,,,,,,,0,1,MachineDown,,0,,,,
200,machine_data_total_down_duration,W,612,2,UINT,,0,rw,,,,,0,,,0,1,MachineDown,,0,,,,
201,machine_data_current_down_duration,W,614,2,UINT,,0,rw,,,,,,,,0,0,MachineDown,,0,,,,
202,machine_data_down_stage,W,616,1,SHORT,,0,rw,,,,,,,,0,0,MachineDown,,0,,,,
203,machine_data_down_reason,W,617,1,SHORT,,0,rw,,,,,,,,0,0,MachineDown,,0,,,,
210,machine_data_undefined_start,W,618,5,STRING,DEFAULT,10,rw,,,,,,,,0,0,Mqtt,,0,,,,
221,version,W,623,5,STRING,DEFAULT,10,rw,,v0.0.0,,,,,,0,0,,,0,,,,
224,machine_data_total_down_duration_str,W,628,5,STRING,DEFAULT,10,rw,,00:00:00,,,,,,0,0,MachineDown,,0,,,,
225,machine_data_current_down_duration_str,W,633,5,STRING,DEFAULT,10,rw,,00:00:00,,,,,,0,0,MachineDown,,0,,,,
247,timezone_offset_sec,W,638,2,INT,,0,rw,,28800,-43200,50400,,,,0,1,,,0,,,,
274,scada_publish_interval,W,640,2,UINT,,0,rw,,60,,,,,,0,1,MachineDown,,0,,,,
275,scada_prev_publish_time,W,642,10,STRING,DEFAULT,20,rw,,0,,,,,,0,1,MachineDown,,0,,,,
288,machine_connection,B,600,1,BOOL,,0,rw,,,,,,,,0,1,Mqtt,,0,,,,
295,start_date,W,652,5,STRING,DEFAULT,10,rw,,,,,,,,0,1,,,0,,,,
296,skip_date_shift_change,B,601,1,BOOL,,0,rw,,1,,,,,,0,0,,,0,,,,
297,machine_data_timer_reset,B,602,1,BOOL,,0,rw,,,,,,,,0,0,Mqtt,,0,,,,
